time,open,high,low,close
2023-01-03,9.97,11.27,9.97,11.27
2023-01-07,13.36,13.52,13.36,13.52
2023-01-11,13.09,16.3,13.09,16.2
2023-01-15,16.46,24.3,16.46,24.3
2023-01-19,22.84,23.59,20.86,20.86
2023-01-23,21.41,25.58,21.41,24.27
2023-01-27,24.43,24.66,22.79,24.36
2023-01-31,24.41,26.18,23.96,23.96
2023-02-03,23.96,24.98,23.96,24.32
2023-02-07,24.69,24.69,22.72,22.72
2023-02-11,23.9,23.9,20.12,20.12
2023-02-15,20.84,21.85,20.78,21.85
2023-02-19,23.89,23.89,22.34,23.45
2023-02-23,24.81,26.04,24.17,24.17
2023-02-27,23.92,23.92,22.41,23.23
2023-02-28,22.69,22.69,21.92,21.97
2023-03-07,21.41,21.41,20.63,20.63
2023-03-11,20.27,20.27,17.33,18.21
2023-03-15,18.07,20.98,18.07,20.98
2023-03-19,19.34,21.64,19.34,21.32
2023-03-23,22.02,22.74,21.58,21.58
2023-03-27,22.31,22.31,20.59,20.98
2023-03-31,19.96,21.13,19.96,20.57
2023-04-03,21.21,21.21,20.57,20.57
2023-04-07,20.44,20.98,20.44,20.61
2023-04-11,20.48,20.88,20.04,20.88
2023-04-15,23.01,24.77,23.01,24.77
2023-04-19,24.08,25.3,24.08,24.83
2023-04-23,22.67,22.67,21.26,21.85
2023-04-27,21.5,21.94,21.26,21.26
2023-04-30,22.34,23.37,22.34,23.13
2023-05-03,23.0,23.0,22.01,22.26
2023-05-07,22.22,22.82,21.74,21.99
2023-05-11,22.0,22.0,20.66,20.98
2023-05-15,20.25,20.94,20.25,20.94
2023-05-19,21.04,21.06,20.35,20.35
2023-05-23,20.35,20.35,19.56,19.56
2023-05-27,20.05,20.05,19.21,19.37
2023-05-31,20.41,21.25,20.41,21.25
2023-06-03,20.82,21.26,20.51,21.26
2023-06-07,21.15,21.87,20.08,20.4
2023-06-11,18.65,18.92,15.71,15.71
2023-06-15,15.55,15.55,14.51,14.51
2023-06-19,14.74,15.63,14.74,15.43
2023-06-23,16.04,17.26,16.04,16.65
2023-06-27,17.1,17.1,16.28,16.28
2023-06-30,16.6,18.0,16.0,18.0
2023-07-03,18.93,19.45,18.61,19.45
2023-07-07,19.21,19.92,18.97,19.92
2023-07-11,21.44,21.9,21.3,21.3
2023-07-15,22.07,26.71,22.0,26.71
2023-07-19,27.35,27.37,25.53,25.53
2023-07-23,26.35,26.35,24.46,24.46
2023-07-27,24.77,25.15,23.27,25.15
2023-07-31,25.09,25.17,24.27,24.27
2023-08-03,23.76,23.93,23.13,23.13
2023-08-07,22.65,23.16,22.63,23.16
2023-08-11,23.05,24.62,23.05,24.62
2023-08-15,24.58,25.15,24.22,25.15
2023-08-19,23.88,23.88,21.33,21.33
2023-08-23,21.88,21.88,20.55,20.55
2023-08-27,21.67,21.67,20.27,20.27
2023-08-31,20.78,21.76,20.56,20.84
2023-09-03,19.73,19.73,19.34,19.47
2023-09-07,19.58,20.27,19.49,19.63
2023-09-11,19.89,19.89,18.24,18.24
2023-09-15,17.71,18.83,17.71,18.83
2023-09-19,19.17,19.64,18.8,19.64
2023-09-23,20.04,20.29,19.44,19.44
2023-09-27,19.47,19.47,19.02,19.02
2023-09-30,19.13,20.29,19.13,20.29
2023-10-03,21.39,23.88,21.39,23.41
2023-10-07,23.55,23.55,22.72,23.43
2023-10-11,23.29,23.29,22.11,22.11
2023-10-15,21.96,22.0,21.27,22.0
2023-10-19,21.92,23.98,21.92,23.43
2023-10-23,24.94,29.36,24.94,29.02
2023-10-27,31.74,32.71,30.13,32.71
2023-10-31,31.77,34.96,31.65,34.96
2023-11-03,38.48,41.41,38.48,40.15
2023-11-07,39.52,42.25,39.52,42.09
2023-11-11,43.11,56.67,43.11,56.67
2023-11-15,56.47,56.85,52.21,56.85
2023-11-19,65.42,65.42,57.86,58.44
2023-11-23,61.47,61.47,52.04,57.64
2023-11-27,56.63,58.81,56.63,57.66
2023-11-30,55.12,59.13,55.12,59.13
2023-12-03,59.18,63.54,59.18,63.54
2023-12-07,63.02,63.02,60.9,62.23
2023-12-11,67.69,74.84,67.69,74.42
2023-12-15,70.2,75.66,68.53,75.66
2023-12-19,72.62,74.34,71.09,74.34
2023-12-23,72.61,98.08,72.61,98.08
2023-12-27,107.64,121.45,107.64,112.33
2023-12-31,106.98,106.98,101.99,101.99
2024-01-03,101.33,101.33,101.33,101.33
